evaluation,join,shacl_schema_validation,summarization,overall_constraint_evaluation,io,io_histogram,io_piechart,viz_hist,viz_pie,viz_grouped_hist,node_samples,picture_composition,overall
0.0,6.403639554977417,1.4909696578979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.070316553115845
0.0,6.406631946563721,1.4887416362762451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07125186920166
0.0,6.398417234420776,1.4922959804534912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.067556142807007
0.0,6.410208463668823,1.4912786483764648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.078052759170532
0.0,6.497795820236206,1.4844462871551514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15737271308899
0.0,6.427248239517212,1.4861431121826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.088382482528687
0.0,6.525988817214966,1.4900505542755127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.191356658935547
0.0,6.460752964019775,1.4818925857543945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.117967367172241
0.0,6.471482276916504,1.4833035469055176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.130398035049438
0.0,2.424377202987671,1.756819725036621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.403781414031982
0.0,2.5591211318969727,1.7726960182189941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.597976207733154
0.0,2.5892648696899414,1.7797324657440186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.635390758514404
0.0,2.5860445499420166,1.7828655242919922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.635625600814819
0.0,2.590237855911255,1.7807364463806152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63762354850769
0.0,7.539611101150513,1.7706212997436523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.533224105834961
0.0,7.538039207458496,1.7715439796447754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.532164335250854
0.0,7.546290636062622,1.771592378616333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.540740966796875
0.0,7.580095052719116,1.7715563774108887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.575175762176514
0.0,7.545121669769287,1.7718617916107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.539880514144897
0.0,7.450870037078857,1.7746083736419678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.439227104187012
0.0,7.518768072128296,1.7816002368927002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.514046669006348
0.0,7.4344494342803955,1.773108959197998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42065691947937
0.0,7.436361074447632,1.76878023147583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41726016998291
0.0,7.446061372756958,1.7754192352294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.434646368026733
0.0,2.9793317317962646,1.7871663570404053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.031227111816406
0.0,3.191802978515625,2.04841947555542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555487394332886
0.0,3.224161148071289,2.052381992340088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.591694355010986
0.0,3.227252721786499,2.0524191856384277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.594970703125
0.0,3.223548650741577,2.0559654235839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.594132661819458
0.0,8.89965295791626,2.0555272102355957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.216400623321533
